#option_type,maturity,strike,option_price
1,0.09315068493150686,290,45.41
1,0.09315068493150686,295,41.7
1,0.09315068493150686,300,50
1,0.09315068493150686,310,41
1,0.09315068493150686,315,34.1
1,0.09315068493150686,320,31.1
1,0.09315068493150686,325,27.5
1,0.09315068493150686,330,23.6
1,0.09315068493150686,335,22.18
1,0.09315068493150686,340,15.1
1,0.09315068493150686,345,9.8
1,0.09315068493150686,360,3.85
1,0.09315068493150686,365,2.65
1,0.09315068493150686,370,2.12
1,0.09315068493150686,375,1.2
1,0.09315068493150686,380,0.78
1,0.09315068493150686,385,0.46
1,0.09315068493150686,390,0.3
1,0.09315068493150686,395,0.22
1,0.09315068493150686,400,0.24
